trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-75.03964013695544,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,0,-13.248024038521967,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578535}",30,0,-93.66099019762962,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-46.98110380380505,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,0,-53.95507492675777,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,2,-46.31711575950538,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,16,0.5355908619215801,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690778}",25,0,-37.42488221836915,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",30,0,-74.51554217933919,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,5,-81.90359416336139,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,0,-49.70708742232606,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",30,9,-60.1394887956787,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-138.2421887308035,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",30,0,-96.3597155557708,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,7,-13.122706947163215,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,15,-33.108701330261724,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-76.85422905084664,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-112.51900565377797,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",30,0,-66.0018507592197,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.611117239532865}",20,2,-20.96940744669764,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,0,-66.3492913619961,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",25,0,-84.116851322446,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,18,-7.322884103778684,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-39.61435876530755,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",30,9,-30.09851137378887,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,-62.887276335982506,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,16,7.306696085019867,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",20,0,-34.25484199684665,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",25,7,-102.85769744767661,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,-7.892630912208655,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,0,-24.40520318888417,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,0,-5.629452226502106,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,0,-29.270288859673332,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,10,-72.06206335342826,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 2}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,4,-8.200188579354105,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",35,15,-14.416191187630346,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",30,0,-0.4711283958453414,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",30,0,-39.42010469035225,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,0,-34.23682714274696,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,13,-13.55964405308275,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",20,5,-0.4471746424776679,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",30,12,-32.7422701422391,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,0,-11.880515217189679,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",25,12,-6.229238797997934,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,0,-28.135894302383537,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",25,0,-75.10774305067,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",30,7,-72.50779222633817,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 2}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,16,9.294854437049286,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",30,16,-29.999609375550452,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",25,10,-98.47825260724895,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 3}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",25,0,-17.255883235394325,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,0,-47.25686901068639,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",30,10,-63.50332979881521,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",25,8,-2.0413061256109,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",25,11,-51.03818030665589,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",25,0,9.4896392545429,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.421334222154768}",20,4,-50.96712965208756,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",30,11,-4.424671658952261,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,7,-62.53017568083488,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",20,3,-34.548433191136226,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",20,3,1.2127700132233767,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",20,2,-46.47750041925181,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",25,18,11.812708720871093,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",35,6,-55.12784021336114,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",30,16,-41.50847680167152,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,1,16.98036806962233,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,13,-134.9832157566639,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 3}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,5,-42.712645352657745,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",25,4,8.577685264428233,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,12,12.95525301017473,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",20,0,19.065981126975903,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,10,0.141932825444814,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",25,14,11.622652562575462,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",25,11,8.48950465449543,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",25,13,20.922353292658592,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",25,0,-30.664427366643224,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",20,0,-40.591411433989755,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",20,4,-14.96321683315118,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,8,-46.92688109274261,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",25,0,-30.062644389768426,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",30,16,-40.24588338340913,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,0,-47.59951394414623,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,15,-2.803283120159076,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,0,-80.52496338542458,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",25,11,-74.94132833254504,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 2}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",35,5,10.890738232875943,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",25,0,1.214436721508807,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",30,18,11.523655123798742,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",20,9,4.57599755577147,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",30,16,-37.12728878145019,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",35,15,-44.69005101740861,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.296386587399208}",25,5,-37.87440339858939,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",20,15,10.476830598526453,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",25,9,-0.030458201912726413,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",20,13,-6.222714739263398,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",25,15,18.32158541279476,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",20,0,-9.518586849581558,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",20,0,-8.083778829183611,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",20,1,-11.170643416400635,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",35,19,10.285891369726434,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",25,4,-28.812463308765025,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",30,8,-20.11533202368886,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",25,12,8.975122702687917,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",25,14,-21.611955274214814,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",20,0,-33.94057449037244,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,0,-6.470266576500292,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",20,16,5.195443109604782,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",20,2,18.806954193379738,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",25,7,-11.554675073126678,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",25,13,16.364542808810256,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",20,9,17.254201679085973,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",25,15,-5.744104805978907,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",30,19,25.172600746812062,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,6,-22.219606638105187,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",30,22,17.117245610360357,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",20,10,-0.5468991285169753,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,11,16.380026865825187,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,9,-26.91872583499979,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",20,0,-9.85625735313377,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",20,12,9.535008876711373,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",25,9,-20.828192955263134,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",20,6,-41.137026760003536,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",20,13,14.152537969389996,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,11,3.65870883602002,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",25,2,-20.304556525344175,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",30,13,15.137530411307328,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",35,16,19.248708818955585,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",25,15,12.86185557861549,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623946}",25,8,-35.86260305369168,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",25,15,-23.4053805717601,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748933}",25,15,-1.6860021383551949,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",25,3,35.54799286842419,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",30,21,3.5546558522605087,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",30,16,6.820465083729454,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",20,8,19.580129993621536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",20,3,-5.180280866184476,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",35,21,24.524585725611516,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",20,6,-2.6782187104163535,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",30,11,14.071808544889915,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",20,11,17.50258993061047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",20,16,7.95049121275654,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",20,4,28.561439243433263,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",30,3,-16.86850127437861,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",25,8,-0.9575256999683504,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626404}",25,20,8.634735257608584,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",25,15,16.041556967495463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17052743088958636}",25,13,22.86178008788427,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.1688221565806905}",20,0,-4.666037225678542,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",25,11,13.790298130178217,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473476}",30,13,-0.9744259307707903,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808742}",35,18,29.48002221467793,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100654}",25,11,26.278569392814394,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16054819111089647}",25,1,23.034417851194853,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.1589427091997875}",35,18,8.368343467379365,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778962}",25,6,-47.107298308987644,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671173}",25,17,-5.831455996328007,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.15422195179384462}",20,0,14.756389571720261,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
187,False,"{'a': 0.5, 'e': 0.15267973227590617}",20,16,7.771986016801848,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.1511529349531471}",25,6,27.423403078506944,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361563}",25,18,1.5020082482038029,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14814499154757946}",25,14,20.53675900647168,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14666354163210368}",20,14,13.022281684391343,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14519690621578263}",30,16,28.865948327733634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.1437449371536248}",25,9,24.727765774475387,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14230748778208857}",30,13,-24.234379166685567,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
195,False,"{'a': 0.5, 'e': 0.14088441290426768}",25,3,28.43380675547544,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.139475568775225}",25,12,18.409487257873277,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13808081308747275}",35,17,1.8010393613683713,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.136700004956598}",30,22,3.523120816260323,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13533300490703204}",30,12,21.93567610177704,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.13397967485796172}",20,0,21.978430912031207,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
201,False,"{'a': 0.5, 'e': 0.1326398781093821}",20,8,22.516616780920206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13131347932828827}",25,14,21.70500120083799,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.1300003445350054}",25,12,15.698017255561659,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.12870034108965533}",20,6,25.314040131662193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.1274133376787588}",20,6,28.469749409358915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12613920430197118}",30,21,15.350824700997016,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12487781225895148}",30,19,18.441872251713104,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12362903413636196}",25,11,17.410463235293633,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12239274379499834}",20,2,20.535519225054404,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.12116881635704835}",25,10,2.7775611447278594,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.11995712819347787}",25,10,32.36581072708085,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.11875755691154309}",30,14,16.751073514735875,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.11756998134242766}",25,18,14.188743115160841,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
